Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,names,Symbol
2020-08-05,11203.8232421875,11786.6171875,11158.28515625,11747.0224609375,24411254471,0,0,Bitcoin,BTC
2020-08-06,11749.87109375,11902.3359375,11598.7138671875,11779.7734375,23400740340,0,0,Bitcoin,BTC
2020-08-07,11778.89453125,11898.0380859375,11408.59375,11601.47265625,23132312867,0,0,Bitcoin,BTC
2020-08-08,11604.5537109375,11800.064453125,11558.431640625,11754.0458984375,17572057837,0,0,Bitcoin,BTC
2020-08-09,11737.3251953125,11806.056640625,11548.7841796875,11675.7392578125,17489608833,0,0,Bitcoin,BTC
2020-08-10,11662.2568359375,12045.140625,11662.2568359375,11878.111328125,26114112569,0,0,Bitcoin,BTC
2020-08-11,11881.6474609375,11932.7109375,11195.708984375,11410.525390625,27039782640,0,0,Bitcoin,BTC
2020-08-12,11404.5966796875,11748.396484375,11249.60546875,11584.9345703125,25064548486,0,0,Bitcoin,BTC
2020-08-13,11588.4052734375,11796.396484375,11216.8720703125,11784.1376953125,27522199497,0,0,Bitcoin,BTC
2020-08-14,11772.6591796875,12150.994140625,11685.455078125,11768.87109375,24237958589,0,0,Bitcoin,BTC
2020-08-15,11768.697265625,11963.203125,11768.697265625,11865.6982421875,23354924400,0,0,Bitcoin,BTC
2020-08-16,11866.685546875,11934.9013671875,11737.1884765625,11892.8037109375,20583375490,0,0,Bitcoin,BTC
2020-08-17,11895.658203125,12359.056640625,11806.6962890625,12254.40234375,28227687027,0,0,Bitcoin,BTC
2020-08-18,12251.8955078125,12335.70703125,11954.525390625,11991.2333984375,26043227672,0,0,Bitcoin,BTC
2020-08-19,11990.884765625,12028.923828125,11687.3330078125,11758.283203125,24502851117,0,0,Bitcoin,BTC
2020-08-20,11761.5,11900.4111328125,11710.0634765625,11878.3720703125,20175242945,0,0,Bitcoin,BTC
2020-08-21,11878.0263671875,11899.259765625,11564.9794921875,11592.4892578125,23762425999,0,0,Bitcoin,BTC
2020-08-22,11585.4775390625,11689.4072265625,11448.8056640625,11681.8251953125,20224191306,0,0,Bitcoin,BTC
2020-08-23,11679.6962890625,11713.4296875,11559.9208984375,11664.84765625,18482062658,0,0,Bitcoin,BTC
2020-08-24,11663.689453125,11807.6318359375,11623.25,11774.595703125,20681511755,0,0,Bitcoin,BTC
2020-08-25,11773.5888671875,11778.2998046875,11189.8505859375,11366.134765625,26301509932,0,0,Bitcoin,BTC
2020-08-26,11366.89453125,11530.052734375,11296.9931640625,11488.36328125,22466660958,0,0,Bitcoin,BTC
2020-08-27,11485.6083984375,11570.7861328125,11185.94140625,11323.3974609375,23240415076,0,0,Bitcoin,BTC
2020-08-28,11325.2958984375,11545.615234375,11316.4228515625,11542.5,19807127588,0,0,Bitcoin,BTC
2020-08-29,11541.0546875,11585.640625,11466.29296875,11506.865234375,17485597759,0,0,Bitcoin,BTC
2020-08-30,11508.7138671875,11715.2646484375,11492.3818359375,11711.505859375,19760127945,0,0,Bitcoin,BTC
2020-08-31,11713.306640625,11768.876953125,11598.318359375,11680.8203125,22285928250,0,0,Bitcoin,BTC
2020-09-01,11679.31640625,12067.0810546875,11601.12890625,11970.478515625,27311555343,0,0,Bitcoin,BTC
2020-09-02,11964.8232421875,11964.8232421875,11290.7939453125,11414.0341796875,28037405299,0,0,Bitcoin,BTC
2020-09-03,11407.19140625,11443.0224609375,10182.46484375,10245.296875,31927261555,0,0,Bitcoin,BTC
2020-09-04,10230.365234375,10663.919921875,10207.9404296875,10511.8134765625,29965130374,0,0,Bitcoin,BTC
2020-09-05,10512.5302734375,10581.5712890625,9946.67578125,10169.5673828125,44916565292,0,0,Bitcoin,BTC
2020-09-06,10167.216796875,10353.927734375,10056.8857421875,10280.3515625,37071460174,0,0,Bitcoin,BTC
2020-09-07,10280.998046875,10399.1533203125,9916.4931640625,10369.5634765625,33703098409,0,0,Bitcoin,BTC
2020-09-08,10369.306640625,10414.775390625,9945.1103515625,10131.5166015625,33430927462,0,0,Bitcoin,BTC
2020-09-09,10134.1513671875,10350.54296875,10017.2509765625,10242.34765625,24128292755,0,0,Bitcoin,BTC
2020-09-10,10242.330078125,10503.912109375,10238.1357421875,10363.138671875,54406443211,0,0,Bitcoin,BTC
2020-09-11,10369.0283203125,10434.9228515625,10140.8369140625,10400.9150390625,45201121775,0,0,Bitcoin,BTC
2020-09-12,10409.861328125,10578.837890625,10292.38671875,10442.1708984375,36750077324,0,0,Bitcoin,BTC
2020-09-13,10452.3994140625,10577.21484375,10224.330078125,10323.755859375,36506852789,0,0,Bitcoin,BTC
2020-09-14,10328.734375,10800.0107421875,10266.0087890625,10680.837890625,35453581940,0,0,Bitcoin,BTC
